step,timestamp,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate
2048,2026-03-13T13:53:39.681629,-0.047413,0.072217,32.841258,0.01506,0.221094,0.0003
4096,2026-03-13T13:54:04.958485,-0.058448,0.029817,32.907667,0.023439,0.313379,0.0002987712
6144,2026-03-13T13:54:36.126644,-0.047499,0.017451,32.912581,0.027174,0.352072,0.0002975424
8192,2026-03-13T13:54:58.756739,-0.037621,0.01272,33.008376,0.026629,0.33724,0.00029631359999999997
10240,2026-03-13T13:55:20.528216,-0.042377,0.011122,33.09069,0.02952,0.356889,0.0002950848
12288,2026-03-13T13:55:36.749009,-0.032545,0.009208,33.113952,0.02811,0.364309,0.00029385599999999995
14336,2026-03-13T13:55:54.455783,-0.02142,0.007981,33.158178,0.028117,0.354601,0.00029262719999999996
16384,2026-03-13T13:56:20.848086,-0.031204,0.006921,33.210044,0.028139,0.356655,0.0002913984
18432,2026-03-13T13:56:51.274871,-0.040687,0.004966,33.239727,0.030017,0.374544,0.0002901696
20480,2026-03-13T13:57:18.894037,-0.028209,0.004486,33.350612,0.030375,0.367365,0.00028894079999999996
22528,2026-03-13T13:57:53.452062,-0.036892,0.004706,33.381943,0.028452,0.350883,0.00028771199999999997
